052220.KQ,iMBC,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
024840.KQ,갑을메탈,1차 비철금속 제조업
198440.KQ,고려시멘트,"시멘트, 석회, 플라스터 및 그 제품 제조업"
014200.KQ,광림,자동차용 엔진 및 자동차 제조업
060480.KQ,국일신동,1차 비철금속 제조업
053260.KQ,금강철강,1차 철강 제조업
035460.KQ,기산텔레콤,통신 및 방송 장비 제조업
138610.KQ,나이벡,의료용품 및 기타 의약 관련제품 제조업
087730.KQ,네패스신소재,합성고무 및 플라스틱 물질 제조업
222040.KQ,뉴트리바이오텍,기타 식품 제조업
900100.KQ,뉴프라이드,자동차 부품 및 내장품 판매업
036480.KQ,대성미생물,의약품 제조업
262830.KQ,대신밸런스제4호스팩,금융 지원 서비스업
045390.KQ,대아티아이,소프트웨어 개발 및 공급업
006580.KQ,대양제지,"펄프, 종이 및 판지 제조업"
078600.KQ,대주전자재료,전자부품 제조업
021040.KQ,대호피앤씨,1차 철강 제조업
263600.KQ,덕우전자,전자부품 제조업
263800.KQ,데이타솔루션,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
005160.KQ,동국산업,1차 철강 제조업
041930.KQ,동아화성,고무제품 제조업
228340.KQ,동양파일,"시멘트, 석회, 플라스터 및 그 제품 제조업"
088910.KQ,동우팜투테이블,"도축, 육류 가공 및 저장 처리업"
013120.KQ,동원개발,건물 건설업
005290.KQ,동진쎄미켐,기초 화학물질 제조업
109740.KQ,디에스케이,특수 목적용 기계 제조업
900260.KQ,로스웰,기타 금융업
042500.KQ,링네트,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
086900.KQ,메디톡스,기초 의약물질 및 생물학적 제제 제조업
058110.KQ,멕아이씨에스,의료용 기기 제조업
096640.KQ,멜파스,전자부품 제조업
213090.KQ,미래테크놀로지,소프트웨어 개발 및 공급업
035620.KQ,바른손이앤에이,소프트웨어 개발 및 공급업
065940.KQ,바이오빌,기초 화학물질 제조업
006910.KQ,보성파워텍,"구조용 금속제품, 탱크 및 증기발생기 제조업"
014470.KQ,부방,기타 금융업
066980.KQ,브레인콘텐츠,기타 정보 서비스업
251630.KQ,브이원텍,특수 목적용 기계 제조업
100090.KQ,삼강엠앤티,1차 철강 제조업
053700.KQ,삼보모터스,자동차 신품 부품 제조업
073640.KQ,삼원테크,기타 금속 가공제품 제조업
027580.KQ,상보,전자부품 제조업
263540.KQ,샘코,"항공기,우주선 및 부품 제조업"
027040.KQ,서울전자통신,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
178320.KQ,서진시스템,통신 및 방송 장비 제조업
081580.KQ,성우전자,통신 및 방송 장비 제조업
039310.KQ,세중,여행사 및 기타 여행보조 서비스업
108860.KQ,셀바스AI,소프트웨어 개발 및 공급업
053110.KQ,소리바다,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
032680.KQ,소프트센,기계장비 및 관련 물품 도매업
035610.KQ,솔본,회사 본부 및 경영 컨설팅 서비스업
236200.KQ,슈프리마,통신 및 방송 장비 제조업
192440.KQ,슈피겐코리아,그외 기타 제품 제조업
115570.KQ,스타플렉스,플라스틱제품 제조업
099320.KQ,쎄트렉아이,"항공기,우주선 및 부품 제조업"
060590.KQ,씨티씨바이오,생활용품 도매업
068940.KQ,아이씨케이,전자부품 제조업
078860.KQ,아이오케이,소프트웨어 개발 및 공급업
031310.KQ,아이즈비전,무점포 소매업
032080.KQ,아즈텍WB,"섬유제품 염색, 정리 및 마무리 가공업"
196170.KQ,알테오젠,자연과학 및 공학 연구개발업
238090.KQ,앤디포스,플라스틱제품 제조업
050320.KQ,에스아이티글로벌,기계장비 및 관련 물품 도매업
226340.KQ,에이치엠씨3호스팩,금융 지원 서비스업
173940.KQ,에프엔씨엔터,오디오물 출판 및 원판 녹음업
217820.KQ,엔에스,특수 목적용 기계 제조업
097520.KQ,엠씨넥스,영상 및 음향기기 제조업
009780.KQ,엠에스씨,기타 식품 제조업
900300.KQ,오가닉티코스메틱,기타 금융업
046120.KQ,오르비텍,기타 과학기술 서비스업
039200.KQ,오스코텍,의약품 제조업
031510.KQ,오스템,자동차 신품 부품 제조업
057540.KQ,옴니시스템,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
082210.KQ,옵트론텍,사진장비 및 광학기기 제조업
109080.KQ,옵티시스,통신 및 방송 장비 제조업
232140.KQ,와이아이케이,특수 목적용 기계 제조업
193250.KQ,와이제이엠게임즈,전자부품 제조업
046970.KQ,우리로,통신 및 방송 장비 제조업
101170.KQ,우림기계,일반 목적용 기계 제조업
018620.KQ,우진비앤지,의약품 제조업
014190.KQ,원익큐브,기타 전문 도매업
095270.KQ,웨이브일렉트로,통신 및 방송 장비 제조업
076080.KQ,웰크론한텍,특수 목적용 기계 제조업
