018880.KS,한온시스템,일반 목적용 기계 제조업
002320.KS,한진,도로 화물 운송업
097230.KS,한진중공업,토목 건설업
003480.KS,한진중공업홀딩스,기타 금융업
027390.KS,한화갤러리아타임월드,종합 소매업
195870.KS,해성디에스,전자부품 제조업
005440.KS,현대그린푸드,종합 소매업
011200.KS,현대상선,해상 운송업
111110.KS,호전실업,봉제의복 제조업
241590.KS,화승엔터프라이즈,기타 금융업
133820.KS,화인베스틸,1차 철강 제조업
095570.KS,AJ네트웍스,산업용 기계 및 장비 임대업
006840.KS,AK홀딩스,기타 금융업
027410.KS,BGF,종합 소매업
001460.KS,BYC,봉제의복 제조업
000590.KS,CS홀딩스,기타 금융업
234080.KS,JW생명과학,의약품 제조업
025000.KS,KPX케미칼,기초 화학물질 제조업
051900.KS,LG생활건강,기타 화학제품 제조업
108670.KS,LG하우시스,플라스틱제품 제조업
006260.KS,LS,기타 금융업
005940.KS,NH투자증권,금융 지원 서비스업
100840.KS,S&TC,일반 목적용 기계 제조업
101060.KS,SBS미디어홀딩스,기타 금융업
002360.KS,SH에너지화학,기초 화학물질 제조업
005610.KS,SPC삼립,기타 식품 제조업
024070.KS,WISCOM,플라스틱제품 제조업
002140.KS,고려산업,"곡물가공품, 전분 및 전분제품 제조업"
002240.KS,고려제강,1차 철강 제조업
000270.KS,기아자동차,자동차용 엔진 및 자동차 제조업
074610.KS,나노메딕스,일반 목적용 기계 제조업
004270.KS,남성,기타 전문 도매업
006280.KS,녹십자,의약품 제조업
015590.KS,대경기계기술,일반 목적용 기계 제조업
008110.KS,대동전자,통신 및 방송 장비 제조업
003540.KS,대신증권,금융 지원 서비스업
009190.KS,대양금속,1차 철강 제조업
069620.KS,대웅제약,의약품 제조업
012800.KS,대창,1차 비철금속 제조업
084010.KS,대한제강,1차 철강 제조업
030790.KS,동양네트웍스,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
018500.KS,동원금속,자동차 신품 부품 제조업
000150.KS,두산,회사 본부 및 경영 컨설팅 서비스업
016740.KS,두올,자동차 신품 부품 제조업
003160.KS,디아이,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
026890.KS,디피씨,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
004000.KS,롯데정밀화학,기초 화학물질 제조업
002270.KS,롯데푸드,낙농제품 및 식용빙과류 제조업
204320.KS,만도,자동차 신품 부품 제조업
094800.KS,맵스리얼티1,신탁업 및 집합투자업
017180.KS,명문제약,의약품 제조업
204210.KS,모두투어리츠,부동산 임대 및 공급업
008420.KS,문배철강,1차 철강 제조업
085620.KS,미래에셋생명,보험업
268280.KS,미원에스씨,기초 화학물질 제조업
155900.KS,바다로19호,운송장비 임대업
002760.KS,보락,기타 화학제품 제조업
000890.KS,보해양조,알코올음료 제조업
005180.KS,빙그레,낙농제품 및 식용빙과류 제조업
014710.KS,사조씨푸드,수산물 가공 및 저장 처리업
207940.KS,삼성바이오로직스,기초 의약물질 및 생물학적 제제 제조업
041650.KS,상신브레이크,자동차 신품 부품 제조업
007860.KS,서연,기타 금융업
007610.KS,선도전기,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
145210.KS,세화아이엠씨,특수 목적용 기계 제조업
017550.KS,수산중공업,특수 목적용 기계 제조업
034300.KS,신세계건설,건물 건설업
031440.KS,신세계푸드,음식점업
002700.KS,신일산업,기계장비 및 관련 물품 도매업
001770.KS,신화실업,1차 철강 제조업
102280.KS,쌍방울,봉제의복 제조업
002250.KS,알보젠코리아,의약품 제조업
161000.KS,애경유화,기초 화학물질 제조업
036570.KS,엔씨소프트,소프트웨어 개발 및 공급업
012280.KS,영화금속,자동차 신품 부품 제조업
